loss,accuracy,val_loss,val_accuracy
0.36631760001182556,0.873480498790741,0.22902020812034607,0.9211999773979187
0.20414774119853973,0.9263169169425964,0.18969817459583282,0.9291999936103821
0.1721419095993042,0.9371401071548462,0.17737674713134766,0.9315999746322632
0.1532362401485443,0.9428982734680176,0.1570643037557602,0.9380000233650208
0.13932310044765472,0.947483479976654,0.14357605576515198,0.942799985408783
0.1302715688943863,0.9516421556472778,0.15855559706687927,0.9327999949455261
0.1237814724445343,0.9532949328422546,0.13509023189544678,0.946399986743927
0.11746963858604431,0.9574003219604492,0.15453216433525085,0.9308000206947327
0.11253326386213303,0.9585199356079102,0.12159658223390579,0.9535999894142151
0.10742151737213135,0.9595862627029419,0.11879026889801025,0.9531999826431274
