loss,accuracy,val_loss,val_accuracy
1.9767658710479736,0.23970000445842743,1.6118930578231812,0.1995999962091446
1.3056906461715698,0.3752500116825104,1.1057868003845215,0.39640000462532043
0.8885469436645508,0.5613499879837036,0.7494391798973083,0.6672000288963318
0.6793268918991089,0.7046499848365784,0.520010769367218,0.8155999779701233
0.543144941329956,0.7829499840736389,0.4229878783226013,0.8348000049591064
0.4167362451553345,0.8292499780654907,0.3723079264163971,0.8485999703407288
0.354984849691391,0.8564000129699707,0.29147738218307495,0.8831999897956848
0.29381459951400757,0.8776500225067139,0.23786430060863495,0.9053999781608582
0.2628481984138489,0.8913999795913696,0.23753158748149872,0.8952000141143799
0.2351621836423874,0.9050999879837036,0.2367369681596756,0.9052000045776367
